epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,311.192,1.02647,0.96103,1.21337,0.82332,0.41077,0.45849,0.32879,1.1777,1.241,1.27112,0.000400104,0.000400104,0.000400104
43,318.567,1.03578,0.94259,1.22321,0.437,0.43874,0.44226,0.29212,1.30272,1.34502,1.36001,0.000379375,0.000379375,0.000379375
44,325.984,1.01392,0.90342,1.20395,0.79309,0.43987,0.43474,0.30166,1.28605,1.31201,1.34333,0.000358646,0.000358646,0.000358646
45,333.414,1.04815,0.93065,1.21845,0.77465,0.45697,0.46183,0.32785,1.2136,1.2757,1.30692,0.000337917,0.000337917,0.000337917
46,340.842,1.01731,0.91356,1.19516,0.47886,0.47257,0.50757,0.34723,1.23994,1.1437,1.34056,0.000317187,0.000317187,0.000317187
47,348.168,1.00137,0.88349,1.19411,0.43898,0.46685,0.46401,0.32401,1.23529,1.23955,1.32029,0.000296458,0.000296458,0.000296458
48,355.516,0.98285,0.86429,1.17858,0.45631,0.45566,0.48484,0.33665,1.2107,1.23806,1.30915,0.000275729,0.000275729,0.000275729
49,362.881,1.00479,0.85929,1.18635,0.807,0.42426,0.46589,0.32035,1.26657,1.2865,1.33807,0.000255,0.000255,0.000255
50,370.363,1.00263,0.89499,1.19767,0.75764,0.44211,0.43366,0.30872,1.24293,1.36729,1.33404,0.000234271,0.000234271,0.000234271
51,390.628,0.88363,0.70476,1.08505,0.78988,0.45289,0.46392,0.31358,1.27164,1.33851,1.35606,0.000213542,0.000213542,0.000213542
52,397.876,0.87004,0.64617,1.06653,0.82912,0.39062,0.46523,0.32779,1.19281,1.26505,1.30593,0.000192813,0.000192813,0.000192813
53,405.148,0.8703,0.61762,1.0654,0.43576,0.43445,0.42906,0.30861,1.18386,1.30085,1.30352,0.000172083,0.000172083,0.000172083
54,412.361,0.84861,0.59252,1.05098,0.44433,0.52475,0.45304,0.32141,1.22343,1.29344,1.33075,0.000151354,0.000151354,0.000151354
55,419.522,0.8384,0.59207,1.04737,0.46248,0.45651,0.4551,0.3298,1.17935,1.26952,1.29331,0.000130625,0.000130625,0.000130625
56,426.74,0.8129,0.5898,1.02814,0.44492,0.43398,0.44698,0.32449,1.18237,1.34342,1.29583,0.000109896,0.000109896,0.000109896
57,433.999,0.79857,0.54805,1.02205,0.79187,0.43127,0.46011,0.33277,1.18766,1.33083,1.3024,8.91667e-05,8.91667e-05,8.91667e-05
58,441.303,0.82943,0.55412,1.04529,0.4286,0.53476,0.45906,0.32692,1.18244,1.3403,1.30414,6.84375e-05,6.84375e-05,6.84375e-05
59,448.548,0.80568,0.54949,1.02626,0.77453,0.42679,0.44982,0.32551,1.16325,1.3432,1.29549,4.77083e-05,4.77083e-05,4.77083e-05
60,455.736,0.8119,0.54095,1.02724,0.77919,0.43638,0.45254,0.32693,1.17732,1.33382,1.30163,2.69792e-05,2.69792e-05,2.69792e-05
